conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;;;;;
1884931125346488556,Thu Jan 30 23:20:45 +0000 2025,1,@mulanbilqis Anak SMA udah dikasi MBG kenyang eehh pulang pulang malah tawuran,1885105902560436644,,mulanbilqis,in,,0,0,0,https://x.com/undefined/status/1885105902560436644,830087634709942273,;;;;;
1885105559323488457,Thu Jan 30 23:19:23 +0000 2025,0,MBG Tunggu Kepala Daerah Terpilih Dilantik https://t.co/6YBavfRDtY,1885105559323488457,,,in,,0,0,0,https://x.com/undefined/status/1885105559323488457,2810878578,;;;;;
1884956033627607226,Thu Jan 30 23:16:08 +0000 2025,5,@prabowo Utk tingkatkan sdm..sebaiknya MBG diganti saja dng pendidikan gratis-tis pak..daripada MBG banyak masalahnya..rakyat tidak ada masalah kalo sekolah gratis dg fasilitasnya lengkap,1885104742596305076,,prabowo,in,,0,1,0,https://x.com/undefined/status/1885104742596305076,4530439701,;;;;;
1885104526354768331,Thu Jan 30 23:15:17 +0000 2025,0,SEMUA HARUS DIRENCANAKAN DENGAN BAIK https://t.co/MB9sq4uYW4 https://t.co/3NIaFcsTjr,1885104526354768331,https://pbs.twimg.com/media/Gik8k2_bYAMvinS.jpg,,in,,0,0,0,https://x.com/undefined/status/1885104526354768331,1462301251199143936,;;;;;
1885104453310964046,Thu Jan 30 23:14:59 +0000 2025,0,Dari lama udah ada ketahanan pangan malah ada MBG. Berarti gak efektif itu program ketahanan pangannya,1885104453310964046,,,in,,0,0,0,https://x.com/undefined/status/1885104453310964046,1519263635214069760,;;;;;
1885103870315291008,Thu Jan 30 23:12:40 +0000 2025,0,--% populasi indonesia yang memprioritaskan MBG daripada Pendidikan dan Kesehatan ,1885103870315291008,,,in,,0,0,0,https://x.com/undefined/status/1885103870315291008,1857575375418830849,;;;;;
1884615784904937587,Thu Jan 30 23:10:44 +0000 2025,0,@hunmanity Iya plis ya allah penasaran bgt banyak kebijakan even kek dari bu srimulyani yg mindblowing penasaran sm pas rapatnya tuh gimana sih seplonga-plongo itu apa gmn ya pdhl kalo MBG tuh menurutku-&gt; https://t.co/0VOjuNc9Qy,1885103383197212914,,hunmanity,in,,0,0,0,https://x.com/undefined/status/1885103383197212914,1547752362638725121,;;;;
1884953522241728645,Thu Jan 30 23:09:47 +0000 2025,0,@achichuuuu @FOODFESS2 Nih bukan MBG kan? ,1885103143567896800,,achichuuuu,in,,0,0,0,https://x.com/undefined/status/1885103143567896800,1606916636837318660,;;;;;
1885101736681234830,Thu Jan 30 23:04:12 +0000 2025,0,MARI DUKUNG PROGRAM PEMERINTAH Makan Bergizi Gratis membantu anak-anak di Papua untuk tumbuh cerdas dan sehat. #MakanBergizi #GiziIndonesia #Makangratis #Gizi #MBG https://t.co/Uuw1nISF1H,1885101736681234830,https://pbs.twimg.com/media/Gik6CflawAA4ws9.jpg,,in,,0,0,0,https://x.com/undefined/status/1885101736681234830,1385800550952751105,;;;;;
1885101697846174095,Thu Jan 30 23:04:02 +0000 2025,0,MARI DUKUNG PROGRAM PEMERINTAH Makan Bergizi Gratis membantu anak-anak di Papua untuk tumbuh cerdas dan sehat. #MakanBergizi #GiziIndonesia #Makangratis #Gizi #MBG https://t.co/Ntkt1G2USL,1885101697846174095,https://pbs.twimg.com/media/Gik6ANYbsAATLzK.jpg,,in,,0,0,0,https://x.com/undefined/status/1885101697846174095,1385800550952751105,;;;;;
